Department,JobRole,AgeGroup,SalaryGroup,BusinessTravel,OverTime,PredictedAttrition,Probability_of_Leaving,ReplacementCost,FinancialRisk,RiskCategory,EmployeeID,EmployeeName
Sales,Sales Executive,26-35,Very High,Travel Rarely,No,0,0.065,1523340.0,98892.2,Medium,1041,Ekapad Palan
Research & Development,Manufacturing Director,46-60,Medium,Travel Rarely,No,0,0.003,801000.0,2111.12,Low,184,Hemangini Mallick
Human Resources,Human Resources,18-25,Low,Travel Rarely,No,0,0.343,279900.0,95897.04,Medium,1222,Yashawini Mani
Research & Development,Research Scientist,36-45,Very High,Travel Rarely,No,0,0.013,1750320.0,22495.79,Low,67,Ekavir Bhakta
Research & Development,Laboratory Technician,36-45,High,Travel Rarely,No,0,0.051,1064520.0,53946.83,Medium,220,Gavin Sant
Sales,Sales Representative,26-35,Low,Travel Rarely,Yes,0,0.327,464220.0,152024.64,High,494,Ansh Swamy
Research & Development,Laboratory Technician,26-35,Medium,Travel Rarely,No,0,0.404,761400.0,307818.26,High,430,Saanvi Barad
Research & Development,Laboratory Technician,36-45,Low,Travel Rarely,No,0,0.034,401760.0,13838.94,Low,240,Chanchal Hans
Sales,Sales Executive,36-45,Very High,Non-Travel,No,0,0.061,1595700.0,96595.82,Medium,218,Vritti Bir
Research & Development,Laboratory Technician,26-35,Low,Travel Rarely,No,0,0.014,408420.0,5634.54,Low,49,Xavier Chakrabarti
Sales,Sales Representative,46-60,Medium,Travel Rarely,Yes,1,0.517,592920.0,306616.81,High,665,Dipta Virk
Sales,Sales Executive,36-45,Very High,Travel Rarely,No,0,0.053,1841580.0,97367.35,Medium,926,Luke Sawhney
Research & Development,Healthcare Representative,36-45,High,Travel Rarely,No,0,0.082,1067940.0,87471.01,Medium,617,Indira Hora
Research & Development,Laboratory Technician,36-45,Low,Travel Rarely,Yes,0,0.038,398340.0,15254.49,Low,361,Jasmit Rao
Research & Development,Research Scientist,18-25,Medium,Travel Rarely,No,0,0.023,607500.0,14166.71,Low,1423,Thomas Bhargava
Research & Development,Research Scientist,26-35,High,Travel Frequently,No,0,0.104,894240.0,92594.64,Medium,1244,Darika Dua
Research & Development,Healthcare Representative,26-35,High,Travel Frequently,Yes,0,0.174,1132920.0,197134.33,High,1250,Warhi Sanghvi
Research & Development,Laboratory Technician,36-45,Low,Travel Rarely,No,0,0.115,493740.0,56756.97,Medium,752,Udarsh Randhawa
